,path,latency,noise,snr
95,A ->C ,0.0015010384283916842,0.00030000000000000003,35.228787452803374
96,A ,0.009006230570350106,0.0018,27.44727494896694
97,A ->D ,0.009006230570350106,0.0018,27.44727494896694
98,A ->D ->B ,0.009006230570350106,0.0018,27.44727494896694
99,A ->D ->B ->F ,0.009006230570350106,0.0018,27.44727494896694
100,A ->D ->B ->F ->E ,0.009006230570350106,0.0018,27.44727494896694
101,A ->D ->B ->F ->E ->C ,0.009006230570350106,0.0018,27.44727494896694
102,A ,0.0035024229995805965,0.0007,31.54901959985743
103,A ->D ,0.0035024229995805965,0.0007,31.54901959985743
104,A ->D ->C ,0.0035024229995805965,0.0007,31.54901959985743
105,A ,0.0035024229995805965,0.0007000000000000001,31.54901959985743
106,A ->D ,0.0035024229995805965,0.0007000000000000001,31.54901959985743
107,A ->D ->E ,0.0035024229995805965,0.0007000000000000001,31.54901959985743
108,A ->D ->E ->C ,0.0035024229995805965,0.0007000000000000001,31.54901959985743
109,A ,0.009006230570350106,0.0018,27.44727494896694
110,A ->D ,0.009006230570350106,0.0018,27.44727494896694
111,A ->D ->F ,0.009006230570350106,0.0018,27.44727494896694
112,A ->D ->F ->E ,0.009006230570350106,0.0018,27.44727494896694
113,A ->D ->F ->E ->C ,0.009006230570350106,0.0018,27.44727494896694
114,A ,0.004002769142377825,0.0008,30.969100130080562
115,A ->B ,0.004002769142377825,0.0008,30.969100130080562
116,A ->B ->D ,0.004002769142377825,0.0008,30.969100130080562
117,A ,0.006504499856363965,0.0013,28.86056647693163
118,A ->B ,0.006504499856363965,0.0013,28.86056647693163
119,A ->B ->F ,0.006504499856363965,0.0013,28.86056647693163
120,A ->B ->F ->D ,0.006504499856363965,0.0013,28.86056647693163
121,A ,0.011507961284336246,0.0023,26.38272163982407
122,A ->B ,0.011507961284336246,0.0023,26.38272163982407
123,A ->B ->F ,0.011507961284336246,0.0023,26.38272163982407
124,A ->B ->F ->E ,0.011507961284336246,0.0023,26.38272163982407
125,A ->B ->F ->E ->C ,0.011507961284336246,0.0023,26.38272163982407
126,A ->B ->F ->E ->C ->D ,0.011507961284336246,0.0023,26.38272163982407
127,A ,0.008505884427552877,0.0017000000000000001,27.69551078621726
128,A ->B ,0.008505884427552877,0.0017000000000000001,27.69551078621726
129,A ->B ->F ,0.008505884427552877,0.0017000000000000001,27.69551078621726
130,A ->B ->F ->E ,0.008505884427552877,0.0017000000000000001,27.69551078621726
131,A ->B ->F ->E ->D ,0.008505884427552877,0.0017000000000000001,27.69551078621726
132,A ,0.004002769142377825,0.0008,30.969100130080562
133,A ->C ,0.004002769142377825,0.0008,30.969100130080562
134,A ->C ->D ,0.004002769142377825,0.0008,30.969100130080562
135,A ,0.004002769142377825,0.0008,30.969100130080562
136,A ->C ,0.004002769142377825,0.0008,30.969100130080562
137,A ->C ->E ,0.004002769142377825,0.0008,30.969100130080562
138,A ->C ->E ->D ,0.004002769142377825,0.0008,30.969100130080562
139,A ,0.009506576713147334,0.0019000000000000002,27.21246399047171
140,A ->C ,0.009506576713147334,0.0019000000000000002,27.21246399047171
141,A ->C ->E ,0.009506576713147334,0.0019000000000000002,27.21246399047171
142,A ->C ->E ->F ,0.009506576713147334,0.0019000000000000002,27.21246399047171
143,A ->C ->E ->F ->B ,0.009506576713147334,0.0019000000000000002,27.21246399047171
144,A ->C ->E ->F ->B ->D ,0.009506576713147334,0.0019000000000000002,27.21246399047171
145,A ,0.009506576713147334,0.0019000000000000002,27.21246399047171
146,A ->C ,0.009506576713147334,0.0019000000000000002,27.21246399047171
147,A ->C ->E ,0.009506576713147334,0.0019000000000000002,27.21246399047171
148,A ->C ->E ->F ,0.009506576713147334,0.0019000000000000002,27.21246399047171
149,A ->C ->E ->F ->D ,0.009506576713147334,0.0019000000000000002,27.21246399047171
150,A ,0.0010006922855944561,0.0002,36.98970004336019
151,A ->D ,0.0010006922855944561,0.0002,36.98970004336019
152,A ,0.00800553828475565,0.0015999999999999999,27.958800173440753
153,A ->B ,0.00800553828475565,0.0015999999999999999,27.958800173440753
154,A ->B ->D ,0.00800553828475565,0.0015999999999999999,27.958800173440753
155,A ->B ->D ->C ,0.00800553828475565,0.0015999999999999999,27.958800173440753
156,A ->B ->D ->C ->E ,0.00800553828475565,0.0015999999999999999,27.958800173440753
157,A ,0.005003461427972281,0.001,30.0
158,A ->B ,0.005003461427972281,0.001,30.0
159,A ->B ->D ,0.005003461427972281,0.001,30.0
160,A ->B ->D ->E ,0.005003461427972281,0.001,30.0
161,A ,0.01050726899874179,0.0021000000000000003,26.777807052660805
162,A ->B ,0.01050726899874179,0.0021000000000000003,26.777807052660805
163,A ->B ->D ,0.01050726899874179,0.0021000000000000003,26.777807052660805
164,A ->B ->D ->F ,0.01050726899874179,0.0021000000000000003,26.777807052660805
165,A ->B ->D ->F ->E ,0.01050726899874179,0.0021000000000000003,26.777807052660805
166,A ,0.01050726899874179,0.0021,26.77780705266081
167,A ->B ,0.01050726899874179,0.0021,26.77780705266081
168,A ->B ->F ,0.01050726899874179,0.0021,26.77780705266081
169,A ->B ->F ->D ,0.01050726899874179,0.0021,26.77780705266081
170,A ->B ->F ->D ->C ,0.01050726899874179,0.0021,26.77780705266081
171,A ->B ->F ->D ->C ->E ,0.01050726899874179,0.0021,26.77780705266081
172,A ,0.0075051921419584215,0.0015,28.239087409443187
173,A ->B ,0.0075051921419584215,0.0015,28.239087409443187
174,A ->B ->F ,0.0075051921419584215,0.0015,28.239087409443187
175,A ->B ->F ->D ,0.0075051921419584215,0.0015,28.239087409443187
176,A ->B ->F ->D ->E ,0.0075051921419584215,0.0015,28.239087409443187
